"id","value","timestamp"
"1","527","2024-12-01 20:24:53"
"2","521","2024-12-01 20:24:53"
"3","522","2024-12-01 20:24:54"
"4","524","2024-12-01 20:24:54"
"5","484","2024-12-01 20:24:54"
"6","460","2024-12-01 20:24:55"
"7","541","2024-12-01 20:24:55"
"8","500","2024-12-01 20:24:55"
"9","529","2024-12-01 20:24:56"
"10","598","2024-12-01 20:24:56"
"11","499","2024-12-01 20:24:56"
"12","500","2024-12-01 20:24:56"
"13","718","2024-12-01 20:24:57"
"14","488","2024-12-01 20:24:57"
"15","497","2024-12-01 20:24:57"
"16","628","2024-12-01 20:24:58"
"17","506","2024-12-01 20:24:58"
"18","538","2024-12-01 20:24:58"
"19","497","2024-12-01 20:24:59"
"20","514","2024-12-01 20:24:59"
"21","493","2024-12-01 20:24:59"
"22","517","2024-12-01 20:24:59"
"23","526","2024-12-01 20:25:00"
"24","467","2024-12-01 20:25:00"
"25","504","2024-12-01 20:25:00"
"26","487","2024-12-01 20:25:01"
"27","478","2024-12-01 20:25:01"
"28","476","2024-12-01 20:25:01"
"29","505","2024-12-01 20:25:01"
"30","511","2024-12-01 20:25:02"
"31","534","2024-12-01 20:25:02"
"32","475","2024-12-01 20:25:02"
"33","519","2024-12-01 20:25:03"
"34","501","2024-12-01 20:25:03"
"35","496","2024-12-01 20:25:03"
"36","510","2024-12-01 20:25:04"
"37","794","2024-12-01 20:25:04"
"38","494","2024-12-01 20:25:04"
"39","514","2024-12-01 20:25:05"
"40","478","2024-12-01 20:25:05"
"41","481","2024-12-01 20:25:05"
"42","570","2024-12-01 20:25:05"
"43","467","2024-12-01 20:25:06"
"44","507","2024-12-01 20:25:06"
"45","805","2024-12-01 20:25:06"
"46","517","2024-12-01 20:25:07"
"47","557","2024-12-01 20:25:07"
"48","460","2024-12-01 20:25:07"
"49","724","2024-12-01 20:25:08"
"50","494","2024-12-01 20:25:08"
"51","452","2024-12-01 20:25:08"
"52","511","2024-12-01 20:25:09"
"53","477","2024-12-01 20:25:09"
"54","548","2024-12-01 20:25:09"
"55","512","2024-12-01 20:25:09"
"56","510","2024-12-01 20:25:10"
"57","493","2024-12-01 20:25:10"
"58","540","2024-12-01 20:25:10"
"59","482","2024-12-01 20:25:10"
"60","468","2024-12-01 20:25:11"
"61","545","2024-12-01 20:25:11"
"62","453","2024-12-01 20:25:11"
"63","526","2024-12-01 20:25:12"
"64","498","2024-12-01 20:25:12"
"65","498","2024-12-01 20:25:12"
"66","527","2024-12-01 20:25:13"
"67","534","2024-12-01 20:25:13"
"68","539","2024-12-01 20:25:13"
"69","502","2024-12-01 20:25:13"
"70","764","2024-12-01 20:25:14"
"71","428","2024-12-01 20:25:14"
"72","332","2024-12-01 20:25:14"
"73","485","2024-12-01 20:25:15"
"74","667","2024-12-01 20:25:15"
"75","624","2024-12-01 20:25:15"
"76","770","2024-12-01 20:25:16"
"77","489","2024-12-01 20:25:16"
"78","483","2024-12-01 20:25:16"
"79","488","2024-12-01 20:25:17"
"80","526","2024-12-01 20:25:17"
"81","521","2024-12-01 20:25:17"
"82","532","2024-12-01 20:25:18"
"83","858","2024-12-01 20:25:18"
"84","466","2024-12-01 20:25:18"
"85","522","2024-12-01 20:25:18"
"86","693","2024-12-01 20:25:19"
"87","492","2024-12-01 20:25:19"
"88","471","2024-12-01 20:25:19"
"89","553","2024-12-01 20:25:20"
"90","554","2024-12-01 20:25:20"
"91","487","2024-12-01 20:25:20"
"92","486","2024-12-01 20:25:20"
"93","564","2024-12-01 20:25:21"
"94","492","2024-12-01 20:25:21"
"95","463","2024-12-01 20:25:21"
"96","482","2024-12-01 20:25:22"
"97","510","2024-12-01 20:25:22"
"98","451","2024-12-01 20:25:22"
"99","484","2024-12-01 20:25:22"
"100","432","2024-12-01 20:25:23"
"101","475","2024-12-01 20:25:23"
"102","498","2024-12-01 20:25:23"
"103","533","2024-12-01 20:25:24"
"104","491","2024-12-01 20:25:24"
"105","473","2024-12-01 20:25:24"
"106","493","2024-12-01 20:25:25"
"107","499","2024-12-01 20:25:25"
"108","807","2024-12-01 20:25:25"
"109","483","2024-12-01 20:25:26"
"110","538","2024-12-01 20:25:26"
"111","556","2024-12-01 20:25:26"
"112","519","2024-12-01 20:25:27"
"113","491","2024-12-01 20:25:27"
"114","501","2024-12-01 20:25:27"
"115","546","2024-12-01 20:25:28"
"116","468","2024-12-01 20:25:28"
"117","524","2024-12-01 20:25:28"
"118","541","2024-12-01 20:25:28"
"119","537","2024-12-01 20:25:29"
"120","506","2024-12-01 20:25:29"
"121","490","2024-12-01 20:25:29"
"122","546","2024-12-01 20:25:30"
"123","533","2024-12-01 20:25:30"
"124","525","2024-12-01 20:25:30"
"125","487","2024-12-01 20:25:31"
"126","514","2024-12-01 20:25:31"
"127","859","2024-12-01 20:25:31"
"128","508","2024-12-01 20:25:31"
"129","514","2024-12-01 20:25:32"
"130","484","2024-12-01 20:25:32"
"131","506","2024-12-01 20:25:32"
"132","509","2024-12-01 20:25:33"
"133","496","2024-12-01 20:25:33"
"134","505","2024-12-01 20:25:33"
"135","478","2024-12-01 20:25:34"
"136","469","2024-12-01 20:25:34"
"137","512","2024-12-01 20:25:34"
"138","540","2024-12-01 20:25:34"
"139","571","2024-12-01 20:25:35"
"140","517","2024-12-01 20:25:35"
"141","472","2024-12-01 20:25:35"
"142","499","2024-12-01 20:25:36"
"143","619","2024-12-01 20:25:36"
"144","573","2024-12-01 20:25:36"
"145","524","2024-12-01 20:25:36"
"146","288","2024-12-01 20:25:37"
"147","256","2024-12-01 20:25:37"
"148","260","2024-12-01 20:25:37"
"149","703","2024-12-01 20:25:38"
"150","531","2024-12-01 20:25:38"
"151","367","2024-12-01 20:25:38"
"152","739","2024-12-01 20:25:39"
"153","586","2024-12-01 20:25:39"
"154","536","2024-12-01 20:25:39"
